ID,Time (s),Entity,Type/Dir,Inter-Arrival (s),Service Time (s)
286,4888.5,EB Vehicles,EB,9.7,-
287,4890.9,EB Vehicles,EB,2.4,-
288,4894,EB Vehicles,EB,3.1,-
289,4909.6,EB Vehicles,EB,15.6,-
290,4916.9,EB Vehicles,EB,7.3,-
291,4919.4,EB Vehicles,EB,2.6,-
292,4922.1,EB Vehicles,EB,2.7,-
293,4942.4,EB Vehicles,EB,20.3,-
294,4952.2,EB Vehicles,EB,9.8,-
295,5010.9,EB Vehicles,EB,58.7,-
296,5045.5,EB Vehicles,EB,34.5,-
297,5056.1,EB Vehicles,EB,10.7,-
298,5058.9,EB Vehicles,EB,2.8,-
299,5062.7,EB Vehicles,EB,3.8,-
300,5108.9,EB Vehicles,EB,46.1,-
301,5112.7,EB Vehicles,EB,3.8,-
302,5114.8,EB Vehicles,EB,2.1,-
303,5117.7,EB Vehicles,EB,2.9,-
304,5188.1,EB Vehicles,EB,70.3,-
305,5192.9,EB Vehicles,EB,4.8,-
306,5305.5,EB Vehicles,EB,112.5,-
307,5310.5,EB Vehicles,EB,5,-
308,5315.3,EB Vehicles,EB,4.8,-
309,5318.4,EB Vehicles,EB,3.1,-
310,5320.6,EB Vehicles,EB,2.2,-
311,5333.6,EB Vehicles,EB,13,-
312,5351.1,EB Vehicles,EB,17.5,-
313,5354.3,EB Vehicles,EB,3.2,-
314,5392.6,EB Vehicles,EB,38.3,-
315,5395.2,EB Vehicles,EB,2.6,-
